Temperature,Actual Conductivity,Dissolved Oxygen,Turbidity,Chlorophyll-a
29.82155,94.00668,10.22675,64.95162,7.587458
29.83961,94.05293,9.470364,87.24723,8.353857
29.9102,94.07328,12.23745,70.02186,8.022318
29.84754,94.05409,10.34238,45.601,7.647949
29.92059,94.10535,11.53989,87.37005,7.468663
29.76796,93.93165,9.485311,72.08077,7.172532
29.80175,93.94695,9.13237,57.86889,7.412338
29.76423,93.98045,8.937991,57.40579,7.036685
29.79639,94.02937,8.799961,48.83684,7.236881
29.87133,94.04123,9.673799,99.87273,7.892505
29.84119,94.01678,9.892303,54.39088,7.394316
29.79408,93.9976,8.780642,61.89183,6.685645
29.74374,94.2347,7.54009,53.42929,6.49473
29.81847,94.0692,9.244925,77.51803,7.759392
29.92741,94.13733,10.89323,83.91697,7.295214
29.8166,94.06003,9.563652,50.61502,6.569179
29.78157,94.01157,8.138021,73.08696,6.464628
29.8568,94.1001,9.332495,40.13789,7.107805
29.86734,94.07428,9.98723,76.50366,6.948422
29.81742,93.9397,8.777052,87.52439,6.694509
29.79619,94.10076,8.312141,45.22007,6.665648
29.75756,94.15569,8.068069,62.1833,5.976521
29.81411,94.09682,8.579056,36.60414,6.467066
29.82154,94.11079,9.123153,39.0954,6.467351
29.83683,94.05862,9.435687,49.79759,6.309849
29.87331,94.0852,9.693603,70.58527,6.495591
29.80674,94.17209,8.747365,50.34665,5.986514
29.79071,94.00843,7.487988,51.01328,5.973378
29.76451,93.92269,7.104818,51.04611,6.056807
29.77108,93.94985,7.958249,49.43415,5.984821
29.83722,93.91453,8.615,68.43189,6.470838
29.87753,94.05892,8.377125,63.90889,6.63719
29.89813,94.10509,8.523694,53.78114,6.431631
29.90883,94.14378,9.134907,85.58764,6.637822
29.87732,94.15443,9.204152,52.97372,6.754303
29.82927,94.09437,9.662333,90.67522,6.202927
29.85158,94.17275,9.272776,35.48051,6.713421
29.86253,94.17684,9.596236,49.50359,6.356383
29.85007,94.10904,9.11064,74.83001,6.722225
29.88217,94.15643,9.230387,70.38338,6.437848
29.88792,94.14133,8.968594,48.08513,6.573035
29.87066,94.1383,8.520666,53.11132,6.387594
29.84499,94.11937,7.758461,72.73952,6.261769
29.82107,94.04743,7.659652,36.10292,6.423202
29.80082,94.00214,7.426513,52.62389,6.085869
29.90848,94.37212,8.229185,47.1185,5.879188
