Temperature,Specific conductance,Dissolved oxygen,pH,Turbidity,Chlorophyll
18.5,218,9.9,9,3.3,6.1
18.4,218,9.9,9,1.5,5.1
18.3,218,9.9,9,1.6,4.8
18.4,218,9.9,9,2.2,3.8
18.5,218,9.8,9,2.3,3.5
18.5,218,9.9,9,1.4,3.6
18.6,218,10,9,2.3,4.1
18.7,218,10,9,1.7,2.3
18.6,218,10.1,9,1.1,5.7
19.1,218,10.2,9,1.9,17.9
20.3,218,10,9,1.9,7.3
19.9,218,10.2,9,1.5,2.1
19.4,218,10.5,9,1.6,3.2
19.6,218,10.4,9,7.6,2.5
19.3,218,10.4,9,1.5,2.9
18.9,217,10.5,9,1.6,3.5
19.1,218,10.4,9,1.5,2.6
19,218,10.4,9,1.4,3.5
19.3,218,10.3,9,1.8,7.6
19.4,218,10.3,9,1.6,3.5
19.6,219,10.2,9,1.8,5.6
19.6,219,10.1,9,1.8,3.9
19.5,219,10.1,9,1.8,7.2
19.4,219,10,9,1.6,6.8
19.3,219,10,9,1.6,5.1
19.2,219,10,9,1.4,3.1
19.1,219,10,9,1,3.4
19.2,219,9.9,9,0.8,6.7
19.2,219,10,9,1.2,4.1
19.3,219,10,9,1.2,
19.4,219,10,9,1.1,5
19.8,219,10.1,9,0.9,4.2
20,219,10.1,9,1.1,4.4
19.6,218,10.1,9,1.2,3
19.6,218,10.2,9,1.3,2.4
20,218,10,9,0.9,2.5
19.4,218,10.1,9,4.8,2.5
19.3,218,10.2,9,0.8,2.3
19.3,218,10.2,9,1.1,4.1
19.4,219,10.2,9,1.8,5
19.6,219,10.3,9,1.3,3.8
19.7,219,10.1,9,1,3.6
19.7,219,10,9,1.3,3.5
19.6,219,10,9,1.1,2.5
19.6,219,10,9,0.9,3.6
19.6,219,9.9,9,0.9,3.1
19.5,219,9.9,9,1.1,3.3
19.4,219,9.9,9,1.1,4.3
19.4,219,9.9,9,1.2,3.9
19.4,219,9.8,9,0.8,3.8
19.3,219,9.8,9,0.9,2.6
19.4,219,9.8,9,0.9,3
19.6,219,9.9,9,0.8,7.8
19.8,219,9.9,9,1.2,9.7
20.5,220,9.9,9,0.6,3
21.3,220,9.9,9,0.6,1.9
21.9,220,9.8,8.9,0.7,1.3
20.4,219,10,9,0.7,2.4
20.3,219,10.1,9,1.2,3.3
